player_id,player_slug,first_name,last_name,rank,player_url,profile_picture,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand,coach,career_high,career_high_date,prize_money_year,prize_money,titles_year,titles,win_loss_year,win_loss
d683,juan-martin-del-potro,Juan Martin,del Potro,11,/en/players/juan-martin-del-potro/d683/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/delpotro_head_rome19.png,ARG,"Tandil, Argentina","Tandil, Argentina",(1988.09.23),1988,09,23,2005,214,97,6,"6""",198,Right-Handed, Two-Handed Backhand,Sebastian Prieto,3,18.08.13,"$511,796","$25,889,586",0,22,8-4,439-173
i186,john-isner,John,Isner,12,/en/players/john-isner/i186/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/isner_head_ao19.png,USA,"Dallas, TX, USA","Greensboro, NC, USA",(1985.04.26),1985,04,26,2007,238,108,6,"10""",208,Right-Handed, Two-Handed Backhand,David Macpherson,8,18.07.16,"$997,935","$17,925,218",0,14,15-7,409-252
mm58,daniil-medvedev,Daniil,Medvedev,13,/en/players/daniil-medvedev/mm58/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/medvedev_head_ao19.png,RUS,"Monte Carlo, Monaco","Moscow, Russia",(1996.02.11),1996,02,11,2014,182,83,6,"6""",198,Right-Handed, Two-Handed Backhand,Gilles Cervara,13,19.06.10,"$1,423,825","$4,087,309",1,4,28-13,100-68
cg80,borna-coric,Borna,Coric,14,/en/players/borna-coric/cg80/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/coric_head_ao19.png,CRO,"Dubai, UAE","Zagreb, Croatia",(1996.11.14),1996,11,14,2013,187,85,6,"2""",188,Right-Handed, Two-Handed Backhand,"Riccardo Piatti, Antonio Veic",12,18.11.05,"$1,073,047","$6,710,534",0,2,21-12,140-118
mc65,gael-monfils,Gael,Monfils,15,/en/players/gael-monfils/mc65/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/monfils_head_ao19.png,FRA,Switzerland,"Paris, France",(1986.09.01),1986,09,01,2004,187,85,6,"4""",193,Right-Handed, Two-Handed Backhand,Liam Smith,6,16.11.07,"$1,338,191","$16,360,465",1,8,22-9,462-261
bg23,nikoloz-basilashvili,Nikoloz,Basilashvili,16,/en/players/nikoloz-basilashvili/bg23/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/basilashvili_head_ao19.png,GEO,"Tbilisi, Georgia","Tbilisi, Georgia",(1992.02.23),1992,02,23,2008,174,79,6,"1""",185,Right-Handed, Two-Handed Backhand,Jan De Witt,16,19.05.27,"$627,392","$4,180,335",0,2,14-15,80-89
r975,milos-raonic,Milos,Raonic,17,/en/players/milos-raonic/r975/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/raonic_head_ao19.png,CAN,"Monte Carlo, Monaco","Podgorica, Montenegro",(1990.12.27),1990,12,27,2008,216,98,6,"5""",196,Right-Handed, Two-Handed Backhand,Fabrice Santoro,3,16.11.21,"$905,050","$18,507,698",0,8,16-7,336-154
c977,marin-cilic,Marin,Cilic,18,/en/players/marin-cilic/c977/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/cilic_head_ao19.png,CRO,"Monte Carlo, Monaco","Medjugorje, Bosnia-Herzegovina",(1988.09.28),1988,09,28,2005,196,89,6,"6""",198,Right-Handed, Two-Handed Backhand,Ivan Cinkus,3,18.01.29,"$678,606","$26,789,956",0,18,10-9,490-261
w367,stan-wawrinka,Stan,Wawrinka,19,/en/players/stan-wawrinka/w367/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/wawrinka_head_ao19.png,SUI,"Monte Carlo, Monaco","Lausanne, Switzerland",(1985.03.28),1985,03,28,2002,179,81,6,"0""",183,Right-Handed, One-Handed Backhand,"Magnus Norman, Yannick Fattebert",3,14.01.27,"$1,218,757","$32,909,138",0,16,20-13,502-292
bk40,matteo-berrettini,Matteo,Berrettini,20,/en/players/matteo-berrettini/bk40/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/berrettini_head_ao19.png,ITA,"Monte Carlo, Monaco","Rome, Italy",(1996.04.12),1996,04,12,2015,198,90,6,"5""",196,Right-Handed, Two-Handed Backhand,"Vincenzo Santopadre, Umberto Rianna",20,19.06.24,"$795,553","$1,725,652",2,3,26-13,45-33
ag37,felix-auger-aliassime,Felix,Auger-Aliassime,21,/en/players/felix-auger-aliassime/ag37/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/auger-aliassime_head_ao19.png,CAN,"Monte Carlo, Monaco","Montreal, Canada",(2000.08.08),2000,08,08,2017,194,88,6,"4""",193,Right-Handed, Two-Handed Backhand,"Guillaume Marx, Frederic Fontang",21,19.06.10,"$1,026,329","$1,417,369",0,0,26-14,32-24
bd06,roberto-bautista-agut,Roberto,Bautista Agut,22,/en/players/roberto-bautista-agut/bd06/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/bautista-agut_head_ao19.png,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",(1988.04.14),1988,04,14,2005,165,75,6,"0""",183,Right-Handed, Two-Handed Backhand,"Tomas Carbonell, Pepe Vendrell",13,16.10.17,"$1,188,779","$10,345,066",1,9,23-11,268-161
gb88,david-goffin,David,Goffin,23,/en/players/david-goffin/gb88/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/goffin_head_ao19.png,BEL,"Monte Carlo, Monaco","Rocourt, Belgium",(1990.12.07),1990,12,07,2009,154,70,5,"11""",180,Right-Handed, Two-Handed Backhand,Thomas Johansson,7,17.11.20,"$887,049","$11,764,512",0,4,18-15,248-159
sm37,diego-schwartzman,Diego,Schwartzman,24,/en/players/diego-schwartzman/sm37/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/schwartzman_head_ao19.png,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",(1992.08.16),1992,08,16,2010,141,64,5,"7""",170,Right-Handed, Two-Handed Backhand,"Juan Ignacio Chela, Leonardo Olguin",11,18.06.11,"$878,392","$6,201,351",0,2,21-15,124-117
sd32,gilles-simon,Gilles,Simon,25,/en/players/gilles-simon/sd32/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/simon_head_ao19.png,FRA,"Boulogne-Billancourt, France","Nice, France",(1984.12.27),1984,12,27,2002,154,70,6,"0""",183,Right-Handed, Two-Handed Backhand,,6,09.01.05,"$764,048","$14,431,994",0,14,20-16,474-346
pc11,guido-pella,Guido,Pella,26,/en/players/guido-pella/pc11/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/pella_head_ao18.png,ARG,"Buenos Aires, Argentina","Bahia Blanca, Argentina",(1990.05.17),1990,05,17,2007,174,79,6,"0""",183,Left-Handed, Two-Handed Backhand,Jose Acasuso,21,19.05.13,"$776,269","$3,748,431",1,1,23-15,91-100
su55,denis-shapovalov,Denis,Shapovalov,27,/en/players/denis-shapovalov/su55/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/shapovalov_head_ao19.png,CAN,"Nassau, Bahamas","Tel Aviv, Israel",(1999.04.15),1999,04,15,2017,165,75,6,"1""",185,Left-Handed, One-Handed Backhand,"Tessa Shapovalova, Adriano Fuorivia",20,19.04.01,"$853,277","$3,250,116",0,0,15-15,64-59
pf39,lucas-pouille,Lucas,Pouille,28,/en/players/lucas-pouille/pf39/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/pouille_head_ao19.png,FRA,"Dubai, UAE","Grande-Synthe, France",(1994.02.23),1994,02,23,2012,185,84,6,"1""",185,Right-Handed, Two-Handed Backhand,Amelie Mauresmo,10,18.03.19,"$1,010,512","$6,894,558",0,5,10-12,120-99
dh58,alex-de-minaur,Alex,de Minaur,29,/en/players/alex-de-minaur/dh58/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/deminaur_head_rome19.png,AUS,"Alicante, Spain","Sydney, Australia",(1999.02.17),1999,02,17,2015,152,69,6,"0""",183,Right-Handed, Two-Handed Backhand,Adolfo Gutierrez,24,19.03.04,"$483,662","$1,989,106",1,1,13-10,43-38
e831,kyle-edmund,Kyle,Edmund,30,/en/players/kyle-edmund/e831/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/edmund_head_ao19.png,GBR,"Nassau, Bahamas","Johannesburg, South Africa",(1995.01.08),1995,01,08,2012,183,83,6,"2""",188,Right-Handed, Two-Handed Backhand,Mark Hilton,14,18.10.08,"$506,522","$4,873,632",0,1,8-12,98-96
fb98,taylor-fritz,Taylor,Fritz,31,/en/players/taylor-fritz/fb98/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/fritz_head_ao19.png,USA,"Rancho Palos Verdes, CA, USA","Rancho Santa Fe, CA, USA",(1997.10.28),1997,10,28,2015,190,86,6,"4""",193,Right-Handed, Two-Handed Backhand,"Paul Annacone, David Nainkin",31,19.07.01,"$686,077","$2,563,046",1,1,18-16,70-72
pd31,benoit-paire,Benoit,Paire,32,/en/players/benoit-paire/pd31/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/paire_head_ao18.png,FRA,"Geneva, Switzerland","Avignon, France",(1989.05.08),1989,05,08,2007,176,80,6,"5""",196,Right-Handed, Two-Handed Backhand,Morgan Bourbon,18,16.01.11,"$742,844","$7,030,928",2,3,19-15,199-212
sl28,jan-lennard-struff,Jan-Lennard,Struff,33,/en/players/jan-lennard-struff/sl28/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/struff_head_ao18.png,GER,"Warstein, Germany","Warstein, Germany",(1990.04.25),1990,04,25,2009,203,92,6,"5""",196,Right-Handed, Two-Handed Backhand,Carsten Arriens,33,19.07.01,"$827,361","$4,606,041",0,0,22-15,110-132
gd64,cristian-garin,Cristian,Garin,34,/en/players/cristian-garin/gd64/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/garin_head_ao19.png,CHI,"Santiago, Chile","Santiago, Chile",(1996.05.30),1996,05,30,2011,187,85,6,"1""",185,Right-Handed, Two-Handed Backhand,"Andres Schneiter, Paul Capdeville",32,19.06.10,"$538,898","$912,437",2,2,22-10,32-26
db63,laslo-djere,Laslo,Djere,35,/en/players/laslo-djere/db63/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/djere_head_ao19.png,SRB,"Novi Sad, Serbia","Senta, Serbia",(1995.06.02),1995,06,02,2013,181,82,6,"2""",188,Right-Handed, Two-Handed Backhand,Boris Conkic,27,19.06.10,"$896,484","$1,647,714",1,1,17-14,36-39
l987,dusan-lajovic,Dusan,Lajovic,36,/en/players/dusan-lajovic/l987/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/lajovic_head_ao18.png,SRB,"Stara Pazova, Serbia","Belgrade, Serbia",(1990.06.30),1990,06,30,2007,183,83,6,"0""",183,Right-Handed, One-Handed Backhand,Jose Perlas,23,19.04.29,"$973,864","$4,321,881",0,0,13-15,112-138
v306,fernando-verdasco,Fernando,Verdasco,37,/en/players/fernando-verdasco/v306/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/verdasco_head_ao18.png,ESP,"Doha, Qatar","Madrid, Spain",(1983.11.15),1983,11,15,2001,198,90,6,"2""",188,Left-Handed, Two-Handed Backhand,Nacho Truyol,7,09.04.20,"$661,677","$16,873,704",0,7,17-15,537-404
td51,frances-tiafoe,Frances,Tiafoe,38,/en/players/frances-tiafoe/td51/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/tiafoe_head_ao19.png,USA,"Orlando, FL, USA","Hyattsville, MD, USA",(1998.01.20),1998,01,20,2015,190,86,6,"2""",188,Right-Handed, Two-Handed Backhand,Zack Evenden,29,19.02.11,"$806,920","$2,742,574",0,1,13-14,50-71
h996,pierre-hugues-herbert,Pierre-Hugues,Herbert,39,/en/players/pierre-hugues-herbert/h996/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/herbert_head_ao19.png,FRA,"Delemont, Switzerland","Schiltigheim, France",(1991.03.18),1991,03,18,2010,165,75,6,"2""",188,Right-Handed, Two-Handed Backhand,"Fabrice Santoro, Benjamin Balleret, Jean Roch Herbert",36,19.02.11,"$648,210","$6,572,983",0,0,21-15,75-87
a829,radu-albot,Radu,Albot,40,/en/players/radu-albot/a829/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/albot_radu_head_pp18.png,MDA,"Chisinau, Moldova","Chisinau, Moldova",(1989.11.11),1989,11,11,2008,152,69,5,"9""",175,Right-Handed, Two-Handed Backhand,Magnus Tideman,40,19.05.27,"$576,622","$2,652,396",1,1,21-14,63-79
cf01,marco-cecchinato,Marco,Cecchinato,41,/en/players/marco-cecchinato/cf01/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/cecchinato_head_lowao19.png,ITA,"Palermo, Italy","Palermo, Italy",(1992.09.30),1992,09,30,2010,172,78,6,"1""",185,Right-Handed, One-Handed Backhand,,16,19.02.25,"$580,953","$2,888,436",1,3,11-14,38-60
me82,adrian-mannarino,Adrian,Mannarino,42,/en/players/adrian-mannarino/me82/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/mannarino_head_ao19.png,FRA,"Valletta, Malta","Soisy-sous-Montmorency, France",(1988.06.29),1988,06,29,2004,174,79,5,"11""",180,Left-Handed, Two-Handed Backhand,,22,18.03.19,"$506,453","$6,494,845",1,1,12-14,174-207
ke17,nick-kyrgios,Nick,Kyrgios,43,/en/players/nick-kyrgios/ke17/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/kyrgios_head_ao19.png,AUS,"Nassau, Bahamas","Canberra, Australia",(1995.04.27),1995,04,27,2013,187,85,6,"4""",193,Right-Handed, Two-Handed Backhand,,13,16.10.24,"$623,852","$7,289,850",1,5,11-9,143-86
tc61,jordan-thompson,Jordan,Thompson,44,/en/players/jordan-thompson/tc61/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/thompson_head_ao19.png,AUS,"Sydney, Australia","Sydney, Australia",(1994.04.20),1994,04,20,2013,181,82,6,"0""",183,Right-Handed, Two-Handed Backhand,Jaymon Crabb,44,19.07.01,"$546,408","$1,907,200",0,0,21-13,38-53
c882,pablo-cuevas,Pablo,Cuevas,45,/en/players/pablo-cuevas/c882/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/cuevas_head_ao18.png,URU,"Salto, Uruguay","Concordia, Argentina",(1986.01.01),1986,01,01,2004,176,80,5,"11""",180,Right-Handed, One-Handed Backhand,"Alberto Mancini, Facundo Savio",19,16.08.15,"$524,089","$8,117,951",0,6,18-13,215-182
su87,lorenzo-sonego,Lorenzo,Sonego,46,/en/players/lorenzo-sonego/su87/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/sonego_head_ao18.png,ITA,"Turin, Italy","Turin, Italy",(1995.05.11),1995,05,11,2013,168,76,6,"3""",191,Right-Handed, Two-Handed Backhand,Gipo Arbino,46,19.07.01,"$447,132","$891,573",1,1,14-12,19-19
g628,richard-gasquet,Richard,Gasquet,47,/en/players/richard-gasquet/g628/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/gasquet_head_ao18.png,FRA,"Neuchatel, Switzerland","Beziers, France",(1986.06.18),1986,06,18,2002,174,79,6,"0""",183,Right-Handed, One-Handed Backhand,,7,07.07.09,"$244,993","$17,467,437",0,15,7-5,528-308
hb71,hubert-hurkacz,Hubert,Hurkacz,48,/en/players/hubert-hurkacz/hb71/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/hubert_head_ao19.png,POL,"Wroclaw, Poland","Wroclaw, Poland",(1997.02.11),1997,02,11,2015,179,81,6,"5""",196,Right-Handed, Two-Handed Backhand,Craig Boynton,41,19.05.13,"$615,202","$1,163,258",0,0,13-14,21-32
d875,grigor-dimitrov,Grigor,Dimitrov,49,/en/players/grigor-dimitrov/d875/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/dimitrov_head_ao19.png,BUL,"Monte Carlo, Monaco","Haskovo, Bulgaria",(1991.05.16),1991,05,16,2008,179,81,6,"3""",191,Right-Handed, One-Handed Backhand,,3,17.11.20,"$619,649","$16,542,019",0,8,11-10,293-190
cd85,pablo-carreno-busta,Pablo,Carreno Busta,50,/en/players/pablo-carreno-busta/cd85/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/carreno_busta_head_ao19.png,ESP,"Barcelona, Spain","Gijon, Spain",(1991.07.12),1991,07,12,2009,172,78,6,"2""",188,Right-Handed, Two-Handed Backhand,"Samuel Lopez, Cesar Fabregas",10,17.09.11,"$498,223","$8,119,929",0,3,8-9,150-141
f724,marton-fucsovics,Marton,Fucsovics,51,/en/players/marton-fucsovics/f724/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/fucsovics_head_ao19.png,HUN,"Budapest, Hungary","Nyiregyhaza, Hungary",(1992.02.08),1992,02,08,2010,181,82,6,"2""",188,Right-Handed, Two-Handed Backhand,Olivier Tauma,31,19.03.04,"$595,143","$2,408,894",0,1,17-17,64-61
kb05,filip-krajinovic,Filip,Krajinovic,52,/en/players/filip-krajinovic/kb05/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/krajinovic_head_ao19.png,SRB,"Belgrade, Serbia","Sombor, Serbia",(1992.02.27),1992,02,27,2008,165,75,6,"1""",185,Right-Handed, Two-Handed Backhand,Nemanja Kontic,26,18.04.23,"$514,447","$2,661,079",0,0,17-7,52-56
j551,nicolas-jarry,Nicolas,Jarry,53,/en/players/nicolas-jarry/j551/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/jarry_head_ao19.png,CHI,"Santiago, Chile","Santiago, Chile",(1995.10.11),1995,10,11,2014,198,90,6,"6""",198,Right-Handed, Two-Handed Backhand,"Martin Rodriguez, Walter Grinovero, Javier Frana",39,18.11.05,"$398,417","$1,761,439",0,0,14-14,46-46
l397,feliciano-lopez,Feliciano,Lopez,54,/en/players/feliciano-lopez/l397/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/lopez_f_head_ao19.png,ESP,"Madrid, Spain","Toledo, Spain",(1981.09.20),1981,09,20,1997,194,88,6,"2""",188,Left-Handed, One-Handed Backhand,Jose “Pepo” Clavet,12,15.03.02,"$724,805","$16,715,877",1,7,7-8,480-438
n771,cameron-norrie,Cameron,Norrie,55,/en/players/cameron-norrie/n771/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/norrie_head_ao19.png,GBR,"London, England","Johannesburg, South Africa",(1995.08.23),1995,08,23,2017,181,82,6,"2""",188,Left-Handed, Two-Handed Backhand,"Facundo Lugones, Devin Bowen",41,19.05.20,"$481,062","$1,337,802",0,0,12-15,33-37
k966,martin-klizan,Martin,Klizan,56,/en/players/martin-klizan/k966/overview,www.atptour.com/-/media/tennis/players/head-shot/2017/kilzan_headao17.png,SVK,"Bratislava, Slovakia","Bratislava, Slovakia",(1989.07.11),1989,07,11,2007,187,85,6,"3""",191,Left-Handed, Two-Handed Backhand,Dominik Hrbaty,24,15.04.27,"$396,980","$5,223,492",0,6,9-12,148-143
k435,philipp-kohlschreiber,Philipp,Kohlschreiber,57,/en/players/philipp-kohlschreiber/k435/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/kohlschreiber_head_ao19.png,GER,"Kitzbuhel, Austria","Augsburg, Germany",(1983.10.16),1983,10,16,2001,154,70,5,"10""",178,Right-Handed, One-Handed Backhand,Tobias Summerer,16,12.07.30,"$567,505","$12,618,056",0,8,17-15,464-361
k926,mikhail-kukushkin,Mikhail,Kukushkin,58,/en/players/mikhail-kukushkin/k926/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/kukushkin_head_ao19.png,KAZ,"Astana, Kazakhstan","Volgograd, Russia",(1987.12.26),1987,12,26,2006,159,72,6,"0""",183,Right-Handed, Two-Handed Backhand,,39,19.02.25,"$424,011","$5,005,560",0,1,10-15,148-188
md56,leonardo-mayer,Leonardo,Mayer,59,/en/players/leonardo-mayer/md56/overview,www.atptour.com/-/media/tennis/players/head-shot/2016/mayer_head_16.png,ARG,"Buenos Aires, Argentina","Corrientes, Argentina",(1987.05.15),1987,05,15,2003,176,80,6,"3""",191,Right-Handed, One-Handed Backhand,"Mariano Hood, Leo Alonso",21,15.06.22,"$540,485","$6,492,427",0,2,13-13,176-183
lb84,juan-ignacio-londero,Juan Ignacio,Londero,60,/en/players/juan-ignacio-londero/lb84/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/londero_head_pp19.png,ARG,"Buenos Aires, Argentina","Jesus Maria, Argentina",(1993.08.15),1993,08,15,2010,154,70,5,"11""",180,Right-Handed, Two-Handed Backhand,Andres Schneiter,58,19.06.10,"$509,538","$823,420",1,1,14-10,14-13
e687,daniel-evans,Daniel,Evans,61,/en/players/daniel-evans/e687/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/evans_head_ao19.png,GBR,"Birmingham, England","Birmingham, England",(1990.05.23),1990,05,23,2006,165,75,5,"9""",175,Right-Handed, One-Handed Backhand,David Felgate,41,17.03.06,"$334,476","$1,776,123",0,0,8-8,43-55
rh16,casper-ruud,Casper,Ruud,62,/en/players/casper-ruud/rh16/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/ruud_head_ao19.png,NOR,"Oslo, Norway","Oslo, Norway",(1998.12.22),1998,12,22,2015,170,77,6,"0""",183,Right-Handed, Two-Handed Backhand,Christian Ruud,59,19.06.10,"$419,510","$1,034,905",0,0,13-6,30-27
o522,reilly-opelka,Reilly,Opelka,63,/en/players/reilly-opelka/o522/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/opelka_head_ao19.png,USA,"West Palm Beach, FL, USA","St. Joseph, MI, USA",(1997.08.28),1997,08,28,2015,225,102,6,"11""",211,Right-Handed, Two-Handed Backhand,"Jay Berger, Jean-Yves Aubone",53,19.05.13,"$437,795","$968,875",1,1,12-12,20-27
mh30,john-millman,John,Millman,64,/en/players/john-millman/mh30/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/millman_head_ao19.png,AUS,"Brisbane, Australia","Brisbane, Australia",(1989.06.14),1989,06,14,2006,174,79,6,"0""",183,Right-Handed, Two-Handed Backhand,Jonas Luetjen,33,18.10.15,"$417,511","$2,844,253",0,0,11-18,59-80
q927,sam-querrey,Sam,Querrey,65,/en/players/sam-querrey/q927/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/querrey_head_ao19.png,USA,"Las Vegas, NV, USA","San Francisco, CA, USA",(1987.10.07),1987,10,07,2006,209,95,6,"6""",198,Right-Handed, Two-Handed Backhand,Vahe Assadourian,11,18.02.26,"$268,603","$11,539,066",0,10,13-8,358-289
hh26,ugo-humbert,Ugo,Humbert,66,/en/players/ugo-humbert/hh26/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/humbert_head_ao19.png,FRA,Luxembourg,"Metz, France",(1998.06.26),1998,06,26,2016,160,73,6,"2""",188,Left-Handed, Two-Handed Backhand,Cedric Raynaud,61,19.05.20,"$262,823","$528,880",0,0,6-13,8-16
ki95,miomir-kecmanovic,Miomir,Kecmanovic,67,/en/players/miomir-kecmanovic/ki95/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/kecmanovic_head_ao19.png,SRB,"Bradenton, FL, USA","Belgrade, Serbia",(1999.08.31),1999,08,31,2017,165,75,6,"0""",183,Right-Handed, Two-Handed Backhand,Miro Hrvatin,67,19.07.01,"$446,870","$654,293",0,0,11-9,11-11
